课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
代谢组学和转录组学关联解析德钦紫花苜蓿根部应答高温胁迫的调控机制	赵雁	云南农业大学	39.0万元	地区科学基金项目	C170202生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=a94548565842
大规模临床样本高通量代谢组学分析新方法研究	路鑫	中国科学院大连化学物理研究所	65.0万元	面上项目	B0505化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=ce3148204827
基于偏最小二乘和贝叶斯理论的代谢组学数据挖掘的新算法研究	郝洁	上海交通大学	17.0万元	青年科学基金项目	C060702生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c5e948363574
基于代谢组学的番茄果实成熟关键转录因子调控营养素合成的分子机制研究	赵晓丹	北京工商大学	21.0万元	青年科学基金项目	C200601生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=e07448408347
PM2.5诱导上皮细胞转录组和代谢组差异表达及致病机理的研究	郑璐璐	复旦大学	21.0万元	青年科学基金项目	C040301生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=896a484426bd
基于质谱的细胞代谢组学方法及其在新型有机污染物的毒性评估中的应用	张保琴	中国科学院大连化学物理研究所	21.0万元	青年科学基金项目	B07化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=7672480568b9
金属化学形态纳米识别- FI-HPLC/GC-ICP-MS联用分析及代谢组学研究	李磊	南京医科大学	65.0万元	面上项目	H2608医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=d40251205502
基于代谢组学及热分析技术的地黄炭止血“存性”与制炭工艺相关性研究	张朔生	山西中医学院	25.0万元	面上项目	H2805医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=0e83512428a0
基于自主研发的代谢型PCR芯片和代谢组学筛选的biomarkers在非霍奇金淋巴瘤个体化诊疗中的应用	刘晓霞	中山大学	17.0万元	青年科学基金项目	H1608医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=ae7950665303
基于拟靶向代谢组学的胃癌化疗敏感性预测模型的研究	杨芬	北京市肿瘤防治研究所	17.0万元	青年科学基金项目	H1609医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=3dc250669975
拟靶向代谢组学策略筛选动脉粥样硬化LysoPL标记物群及其在泽泻三萜药效研究中的应用	张杨	华中科技大学	17.3万元	青年科学基金项目	H3010医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=da0e50e112af
整合药物代谢组与药物基因组多元标志物的华法林个体化给药新模式研究	黄青	中国人民解放军南京军区南京总医院	19.0万元	青年科学基金项目	H3110医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=262a50e2403b
基于微透析-代谢组学-因果辨识数理模型的丹参-降香抗脑缺血再灌注损伤效应物质研究	贾璞	西北大学	18.0万元	青年科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=b9df50e3036e
基于代谢组学及代谢相关性的天麻酚类成分治疗血管性痴呆作用机制研究	唐春兰	宁波大学	17.0万元	青年科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c06750e3102c
基于代谢组学技术的连钱草治疗胆固醇结石药效物质基础及作用机制研究	谭婷	江西中医药大学	18.0万元	青年科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=e20750e31857
基于代谢组学和网络药理学策略研究鬼针草抗高脂血症效应物质及作用机制	王宇卿	南阳医学高等专科学校	17.0万元	青年科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=1a2750e3273f
基于谱效相关及代谢组学技术解析甘草蜜炙增效炮制原理	周倩	山东省中医药研究院	18.0万元	青年科学基金项目	H2805医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c30b50e34321
基于儿茶酚胺代谢途径的寒、热体质大鼠靶向代谢组学研究及中药的调整	殷玉婷	江西中医药大学	18.0万元	青年科学基金项目	H2901医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=797250e44675
基于代谢组学和舌脉诊客观指标的变化特征研究益气复元膏方改善气虚质的机制	丘俊鑫	上海中医药大学	18.0万元	青年科学基金项目	H2701医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=df2d50e550c7
鲍曼不动杆菌脂质A结构的多态性、代谢组学与多黏菌素敏感性相关机制的系统生物学研究	李健	复旦大学	18.0万元	海外及港澳学者合作研究基金	H3106医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=4a8850e87418
学龄儿童青少年不同肥胖表型代谢组学及与血压关系的研究	丁文清	宁夏医科大学	34.0万元	地区科学基金项目	H2610医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=6f58508552c0
基于基因组学和代谢组学研究蒙医学“三根”理论的物质基础和遗传相关性	包晓华	内蒙古民族大学	36.0万元	地区科学基金项目	H2720医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=94325088157e
相同能量下不同膳食结构对寿命的影响及其动态代谢组学通路研究	牛玉存	哈尔滨医科大学	70.0万元	面上项目	H2603医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=2ed05119e985
基于代谢组学的儿童肥胖对青少年高血压发病风险的预测研究	陈欣	大连医科大学	17.0万元	青年科学基金项目	H2606医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=548b50691575
基于核磁定量与核磁共振代谢组学技术的秦艽品质评价与祛风湿作用研究	李泽运	郑州大学	17.0万元	青年科学基金项目	H2804医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=bced50e3315c
中药小样本代谢组生物标志物可靠辨识方法研究	林兆洲	首都医科大学	17.0万元	青年科学基金项目	H2819医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=d1dc50e44053
基于新一代靶向代谢组学和功能磁共振成像技术的抑郁症发病机制和早期诊断的研究	李克峰	中日友好医院	18.0万元	海外及港澳学者合作研究基金	H1801医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c0f750e86794
从DNA甲基化谱和代谢组学角度探索何首乌延缓衰老的生物机制	葛正龙	遵义医学院	34.0万元	地区科学基金项目	H2903医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=6417508e43d5
基于脑肠轴对肝郁脾虚型肠易激综合症（IBS）肠道微生态及水液代谢组学的研究 	刘俊宏	甘肃中医药大学	33.0万元	地区科学基金项目	H2708医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=9e46508e608a
基于蛋白质组学和代谢组学的mcr-1基因介导的多粘菌素耐药机制研究	李会	中国农业大学	15.0万元	青年科学基金项目	C180701生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=b33e4846e2f0
基于代谢组学策略的产前奶牛运动对血浆NEFA调节机理的研究	陶金忠	宁夏大学	40.0万元	地区科学基金项目	C180803生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=fa9b485e068a
整合金属蛋白质组学和代谢组学方法对镓抗菌剂作用机理的系统性分析	王宇传	中山大学	20.0万元	青年科学基金项目	B010401化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=23874e935564
基于代谢组学系统评价水体中不同性质微塑料颗粒的生物毒性效应研究	张宴	南京大学	21.0万元	暂无数据	B070704化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=f4e6440254c9
基于细胞代谢组学和模式生物相结合探讨雷公藤红素抗白血病作用机制研究	张晓玲	南京医科大学	17.9万元	暂无数据	H3109医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=d91744046641
横断山区大绒鼠代谢组学及其适应对策的研究	朱万龙	云南师范大学	42.0万元	暂无数据	C030302生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=408343e24226
二维液相色谱质谱代谢组学新方法及其在淋巴瘤研究中的应用	周丽娜	中国科学院大连化学物理研究所	21.0万元	暂无数据	B0501化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=6a9343805ef8
2型糖尿病小鼠肠道菌群宏转录组及代谢组对GLP-1类药物干预应答特征研究	冉艳红	暨南大学	19.0万元	暂无数据	C010503生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=470b4550890b
基于“血清药物化学-药代动力学-代谢组学”的体外培育牛黄活性成分辨识与机制研究	李喜平	华中科技大学	18.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=98f4462024ef
野生稻近等基因系耐冷机制的代谢组学和转录组学研究	李文兰	广西大学	42.0万元	暂无数据	C050202生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=da724620e3a8
基于血脑屏障多药耐药相关蛋白2(MRP2)的海洛因代谢组学研究	李良	中山大学	18.0万元	暂无数据	H2301医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=47d7462e7652
基于代谢组学的拟除虫菊酯类农药在水产品中的风险评估研究	李丽春	中国水产科学研究院珠江水产研究所	20.0万元	暂无数据	C200706生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=a224462e980b
基于肠道菌群和代谢组学的“西帕依溃结安-短链脂肪酸”协同作用机制研究	韩博	石河子大学	39.0万元	暂无数据	H2818医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=e55c46e79125
有氧运动联合四君子汤对肝癌小鼠术后免疫功能和代谢组学效应影响的实验研究	方凡夫	中国人民解放军第二军医大学	18.0万元	暂无数据	H2717医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=63594698e952
基于代谢组学蛋白质组学多组学技术的锌缺乏生物标志物筛选和代谢通路分析研究	王茂清	哈尔滨医科大学	55.0万元	暂无数据	H2603医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=c3e4450359c1
基于代谢组学的高血压发病风险预测研究	杨汉东	湖北医药学院	57.0万元	暂无数据	H2610医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=467844510925
基于巢式设计的膳食营养素与糖尿病发病机制的代谢组学中介效应分析研究	武晓岩	哈尔滨医科大学	50.0万元	暂无数据	H2603医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=f30644e6613e
基于代谢组学技术的头针疗法对脑瘫脑内微环境影响的机制研究	于雪峰	南昌大学	37.0万元	暂无数据	H2718医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=470344336e4f
多平台代谢组学技术研究苯并芘暴露下肺的代谢紊乱作用机制	叶国注	中国科学院城市环境研究所	22.0万元	暂无数据	B070704化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=4d3c443986db
基于“肝肾同源”理论和代谢组学技术的二至丸实现肝肾同治的作用机制及效应物质基础研究	姚卫峰	南京中医药大学	60.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=94a24440e25e
南海岛屿典型植物内生真菌代谢组差异扫描及新活性物质发现	李翰祥	中国科学院华南植物园	21.0万元	暂无数据	B020404化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=409d463403d4
基于代谢组学技术的香附-川芎药对配伍规律和抗抑郁药效活性成分研究	贾红梅	中国医学科学院药用植物研究所	18.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=749c46539406
基于转录组和代谢组的马铃薯抗寒相关途径分析及抗寒机理解析	陈琳	华中农业大学	20.0万元	暂无数据	C130407生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=ca594e26588e
基于修饰代谢组学的绿茶中糖苷类品质成分研究	戴伟东	中国农业科学院茶叶研究所	20.0万元	暂无数据	C161104生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=4a2a4e11414b
基于代谢组学与谱效结合的防己黄芪汤益气祛湿作用物质基础研究	刘晓	南京中医药大学	18.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=dc21459056f8
基于ADME和代谢组学技术的苍术炮制原理研究	才谦	辽宁中医药大学	60.0万元	暂无数据	H2805医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=ccde4e383795
黄葵总酮对大鼠顺铂化疗减毒增效作用机理的代谢组学研究	李长印	南京中医药大学	18.0万元	暂无数据	H2810医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=aa8646381231
基于脂质代谢组学探究抗精神分裂症药物诱导新生糖尿病和胰岛素抵抗的缘由和作用机制	黎维勇	华中科技大学	50.0万元	暂无数据	H3111医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=167e46394e9f
结合转录组学及代谢组学研究百草枯体外神经发育毒性及其机制	黄敏	宁夏医科大学	35.0万元	暂无数据	H2607医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=102e465942dd
基于1H-NMR代谢组学研究回阳生肌法治疗糖尿病皮肤溃疡愈合机制	黄凤	首都医科大学	18.0万元	暂无数据	H2709医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=b8c74661551d
蛋白组学结合代谢组学揭示中药绞股蓝治疗代谢综合征的生物机制	何芋岐	遵义医学院	39.0万元	暂无数据	H2811医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=952a46e12809
基于代谢组学与组合药代动力学表征的葛根芩连汤药性物质基础与配伍机制研究	于治国	沈阳药科大学	55.0万元	暂无数据	H2807医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=08a8443329e3
基于靶向代谢组学的肺腺癌干细胞葡萄糖代谢重编程通路分配定量研究	朱亮	上海交通大学	57.0万元	暂无数据	H1614医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=5a0243e361f8
细辛毒性机制的代谢组学与毒理基因组学分析研究	周祯祥	湖北中医药大学	57.0万元	暂无数据	H2807医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=640543e640d2
马齿苋提取物抑制原发性和转移性肝癌的体内代谢组学及Hh信号通路的机制研究	郑国银	中国人民解放军第二军医大学	57.0万元	暂无数据	H2810医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=a505438800c3
外源甘露寡糖影响绵羊代谢组的NMR研究	郑琛	甘肃农业大学	40.0万元	暂无数据	C170107生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=4e7b438844cf
应用全外显子组测序结合代谢组学探索中国汉族人群胸椎黄韧带骨化症的致病基因	赵宇	中国医学科学院北京协和医院	57.0万元	暂无数据	H0601医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=e0f54389643a
应用代谢组学技术研究长期低剂量摄入丙烯酰胺对机体的毒性及槲皮素对其毒性的影响	赵秀娟	哈尔滨医科大学	50.0万元	暂无数据	H2604医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=d0e24390e271
基于动态概率主成分分析模型的钙干预敏感标志物代谢组学研究	张秋菊	哈尔滨医科大学	18.0万元	暂无数据	H2611医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=292744096eb5
基于代谢组学的冠心病生化代谢谱与其中医证型的相关性研究	王恒和	天津中医药大学	58.0万元	暂无数据	H2703医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=58f645104826
基于代谢组学筛选人参根际土壤中特异分泌物及其功能解析	唐中华	东北林业大学	66.0万元	暂无数据	C0311生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=ec5145233383
利用代谢组学技术研究2, 4-二氯苯氧乙酸保鲜柑橘的作用机理	马巧利	江西农业大学	21.0万元	暂无数据	C1505生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=fecb45e17761
节律钟和光周期调控水稻代谢组及抽穗期的分子机理	罗杰	华中农业大学	281.0万元	暂无数据	C1304生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=bef245e824f2
华法林个体化用药的血浆药物代谢组学研究及机制探讨	刘林生	苏州大学	17.9万元	暂无数据	H3110医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=245145962310
基于血清代谢组分析的失重性骨丢失与糖代谢交互调控研究	张洪玉	中国航天员科研训练中心	25.0万元	暂无数据	C0507生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=6c794418e786
基于线粒体功能代谢组学的柴胡保肝/损肝双向调节作用机制研究	张尊建	中国药科大学	54.0万元	暂无数据	H2807医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=f7c5439e50d5
糖尿病性视网膜病变microRNA指纹谱，全基因组DNA甲基化谱及血清代谢组学研究 	张新媛	首都医科大学	57.0万元	暂无数据	H1205医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=7f30440398f3
高血压前期“隐证”人群的代谢组学辨证指标研究	张磊	上海中医药大学	60.0万元	暂无数据	H2902医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=15934414026d
整合氧化应激代谢通路靶向分析和代谢组进程动力学新策略的顺铂肾损伤机制与安全性预测研究	许风国	中国药科大学	65.0万元	暂无数据	H3010医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=3e74445985ec
组合应用NMR代谢组学和生物医学技术研究阿尔茨海默病的分子机制及其与糖尿病脑病的代谢关联	高红昌	温州医科大学	65.0万元	暂无数据	B0504化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=10f7469152e6
基于代谢组学和多组分PK-PD模型的中药脐部给药生物药剂学特征研究	冯年平	上海中医药大学	60.0万元	暂无数据	H2806医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=72ce469594f2
基于双位点微透析-代谢组学的沙棘膏预防低氧性肺动脉高压的物质基础及作用机制研究	杜蕾蕾	成都中医药大学	18.0万元	暂无数据	H2818医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=0f1d4e032287
基于代谢组学技术研究嫁接影响红茶品质形成的物质基础	马成英	广东省农业科学院饮用植物研究所	20.0万元	暂无数据	C161104生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=9ff945e38656
基于代谢组学的桃红四物汤调节骨代谢的分子机制及物质基础研究	刘立	广东医学院	18.0万元	暂无数据	H2903医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=85da4596e376
基于基因组采掘及2D-NMR代谢组分析策略的深海放线菌中新型肽类抗生素的挖掘	李花月	中国海洋大学	22.0万元	暂无数据	B020403化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=0294463299e8
基于代谢组学和高通量测序解析硫胺素缓解亚急性瘤胃酸中毒的机制研究	熊本海	中国农业科学院北京畜牧兽医研究所	64.0万元	暂无数据	C170107生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=3c53446e72b0
基于药物代谢组学和基因型的环孢素A药动学个体差异研究	王晓雪	中日友好医院	17.9万元	暂无数据	H3113医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=cbcb4495647d
基于代谢组学及网络药理学方法研究新疆罗勒抗动脉粥样硬化有效组分及作用靶点	艾尼瓦尔·吾买尔	新疆医科大学	30.0万元	暂无数据	H3102医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=ce734e4228aa
基于NMR代谢组学技术研究电针内关对大鼠心肌缺血再灌注损伤的预保护作用机制	王超	湖南中医药大学	59.0万元	暂无数据	H2718医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=87fa451522c2
基于代谢组学的儿童支气管哮喘急性发作期证候学生物标记物研究	万力生	重庆医科大学	50.0万元	暂无数据	H2712医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=43664518e776
基于基因组学和代谢组学的硫嘌呤类药物个体化给药	黄民	中山大学	58.0万元	暂无数据	H3111医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=c26446594474
基于代谢组学技术和QSAR模型的黑灵芝甾醇类化合物定量结构-活性关系研究	申明月	南昌大学	43.0万元	暂无数据	C200204生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=03d64546317d
基于代谢组学和基因芯片技术的蜜炙黄芪特征成分补气作用机制的研究	芮雯	广东药学院	52.0万元	暂无数据	H2805医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=b8ca45486000
基于代谢组学方法的影像学难辨肝占位诊断体系的建立	荣光华	中国人民解放军第三０二医院	42.0万元	暂无数据	H1617医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=c88e45490333
道地中药温莪术治疗肾纤维化药效机制的代谢组学研究	胡永胜	温州医科大学	18.0万元	暂无数据	H2815医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=e23a46635885
基于代谢组学的杏香兔耳风抗宫颈炎药效物质基础及作用机制研究	冯育林	江西中医药大学	40.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=51484695101a
基于“半聚焦”代谢组学策略的主要消化系统肿瘤共有和特有代谢模式研究	陈天璐	上海交通大学	20.0万元	暂无数据	C060704生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=60cd4e236637
基于数据非依赖型采集（DIA）质谱技术的代谢组学方法学和化学信息学的研究	朱正江	中国科学院上海有机化学研究所	65.0万元	暂无数据	B0505化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=861a43e1048f
靶向代谢组学策略研究贯叶连翘对更年期潮热 “精氨酸-蛋氨酸-色氨酸”代谢紊乱的调控机制	刘妍如	陕西中医学院	18.0万元	暂无数据	H0404医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=29db4588e1b3
利用数据非依赖采集进行肺炎链球菌限制修饰系统对细菌蛋白组与代谢组调控的研究	刘晓蕙	清华大学	18.0万元	暂无数据	H1908医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=75bd45903831
基于药物代谢组学及系统药理学技术研究刺五加叶治疗缺血性脑中风的药效物质基础及作用机制	刘舒	中国科学院长春应用化学研究所	57.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=7956459312e1
基于细胞代谢组学的抗氧化活性评价方法的构建及在天然产物抗氧化活性物质评价和筛选中的应用	魏鉴腾	中国科学院兰州化学物理研究所	21.0万元	暂无数据	B050102化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=051944866397
基于代谢组学技术的区域特色植物源性食品产地溯源的探索	王远兴	南昌大学	42.0万元	暂无数据	C200701生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=5b8e4490426d
基于细胞代谢组学的四氢呋喃型番荔枝内酯类化合物抑制多药耐药性肿瘤细胞的作用机制研究	李祥	南京中医药大学	50.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=8d8246198692
基于植物代谢组学策略的MeJA对赤小豆萌芽过程的作用机制研究	李丽	北京工商大学	20.0万元	暂无数据	C200101生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=41c2462803e4
基于微透析在线分析技术和代谢组学方法的人参远志配伍治疗阿尔茨海默病的药效物质基础和作用机制研究	张艳	吉林化工学院	21.0万元	暂无数据	B0510化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=bf604402537c
基于代谢组学的火炭母药材抗炎作用与品质相关性研究	张宏武	中国医学科学院药用植物研究所	54.0万元	暂无数据	H2801医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=0983441895ed
基于植物代谢组学的单花蜜特征标志物的识别与酚类成分的抗氧化谱效关系研究	沈葹	中国疾病预防控制中心营养与健康所	22.0万元	暂无数据	C200401生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=419f45449664
基于代谢组学标记识别的高发区人群食管癌筛检模型研究	王家林	山东省医学科学院	55.0万元	暂无数据	H2610医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=aeaa4508e271
基于代谢组学的炙淫羊藿温肾助阳增效机制研究	孙娥	江苏省中医药研究院	18.0万元	暂无数据	H2805医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=b820453421c2
基于NMR、LC-MS技术探讨解毒化瘀颗粒拮抗急性肝衰竭大鼠的代谢组学研究	龙富立	广西中医药大学	18.0万元	暂无数据	H2708医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=575045835929
利用代谢组学技术研究橘属中药物质基础及其体内作用	刘元艳	北京中医药大学	54.0万元	暂无数据	H2803医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=72bb4586194b
基于代谢产物分析和细胞代谢组学技术研究石榴皮鞣质类成分的ADME特性及其代谢产物的调控机制	周本宏	武汉大学	62.0万元	暂无数据	C020604生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=a65043834554
基于代谢组学的冬虫夏草生长发育的代谢规律研究	胡丰林	安徽农业大学	62.0万元	暂无数据	C010103生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=4211466e2875
基于LC/MS、NMR分析方法的犊牛腹泻中兽医证候本质的代谢组学研究	王胜义	中国农业科学院兰州畜牧与兽药研究所	20.0万元	暂无数据	C1806生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=9d6545002137
远志-石菖蒲干预注意缺陷多动障碍模型动物的代谢组学研究	倪新强	深圳大学	18.0万元	暂无数据	H2712医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=f131456503b7
基于肠道微生态和代谢组学的益智治疗慢性肾损伤的物质基础与分子机制研究	李永辉	海南医学院	39.0万元	暂无数据	H2903医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=774b46155519
基于大样本平行人群及动物模型的NAFLD代谢组学研究	冯任南	哈尔滨医科大学	65.0万元	暂无数据	H2603医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=a9b7469580b3
多分析方法与多样本整合的代谢组学研究食管癌淋巴结转移生物标志物	张小丽	深圳大学	21.0万元	暂无数据	B05化学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=d297440519cf
缩节胺促进棉花侧根发育的激素代谢组学研究	王保民	中国农业大学	88.0万元	生命科学	C130301生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=7dd63e0521e8
基于药物代谢组学的中药肉苁蓉抗血管性痴呆体内药效物质及作用机制研究	宋月林	北京中医药大学	23.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=34f13e25750c
基于代谢组学的“附子理中汤”治疗脾虚证的药效物质基础与作用机理研究	辛杨	齐齐哈尔大学	23.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=836e365e68ab
基于肠道微生态学结合代谢组学的黄连解毒汤改善2型糖尿病胰岛素抵抗的药效物质基础及其作用机制研究	谢智勇	中山大学	68.0万元	医学科学	H2803医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=2c44365e931b
膳食营养和代谢组学与血压关系的队列研究	武阳丰	北京大学	70.0万元	医学科学	H2610医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=ce5d366488eb
补气、活血、解毒三种方剂抗脑缺血的代谢组学研究	吴宏伟	中国中医科学院中药研究所	23.0万元	医学科学	H2901医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=77f436e10931
中药体内药效物质基础的系统分析方法学--中医方证代谢组学研究	王喜军	黑龙江中医药大学	320.0万元	医学科学	H28医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=b0df36861225
基于糖皮质激素代谢组学的金丝桃素抗抑郁作用机制的研究	翟学佳	华中科技大学	23.0万元	医学科学	H3111医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=52d6361542b3
代谢组学数据的多层次融合和模型评价方法研究	易伦朝	昆明理工大学	49.0万元	化学科学	B0512化学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=48ab36283607
婴儿CMV肝炎的病证代谢组学研究	杨燕	首都医科大学	74.0万元	医学科学	H2712医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=f7d936342421
