课题名称	批准号	学科分类	项目负责人	职称	单位	金额	项目类别	研究期限	中文主题词	英文主题词	中文摘要	英文摘要	
“微生物固化加筋垫层-刚性桩”路基结构承载性能与变形控制特性	51708243	地基与基础工程 ( E080601 )	赖汉江	博士后	华中科技大学	26.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	地基处理；桩承式加筋路堤；微生物固化；加筋垫层；变形控制	ground improvement;geogrid-reinforced and pile-supported embankment;microbially induced calcite precipitation;reinforced cushion;deformation control	针对桩板式路基结构价格昂贵和传统桩承式加筋路堤变形控制效果不佳等问题，本项目旨在研发一种环境友好的“微生物固化纤维-格栅加筋垫层-刚性桩”（Bio-FGR-RP）路基结构，达到经济高效地控制路基变形的目的。该新型路基结构涉及极为复杂的多元耦联作用，其承载性能和变形控制特性尚不明确。本项目将开展系列宏细观试验，明确微生物固化纤维加筋砂土（Bio-FS）的工程力学特性，优化纤维加筋及微生物固化参数，建立Bio-FS材料本构模型；然后基于抗弯强度试验及数值模拟，全面揭示微生物固化纤维-格栅加筋（Bio-FGR）垫层性能演化规律及各部分协同工作机制；最后通过室内模型试验及数值建模，深入探究Bio-FGR-RP路基结构的荷载传递机理与变形控制特性，凝练实用的Bio-FGR-RP路基设计理论。项目研究成果将为软土地区路基处理提供新途径，为Bio-FGR-RP路基结构的全面推广与应用奠定理论及试验基础。	"In view of the problem that the expensive pile-plate subgrade structure and the imperfect deformation control effect in the traditional geogrid-reinforced and pile-supported embankment, this project aims to develop an environmentally friendly subgrade structure consisting of Bio-cemented Fiber-Geogrid Reinforced cushion and Rigid Piles (termed as Bio-FGR-RP subgrade structure) to economically and efficiently control the deformation of subgrade. However, the load-transfer and deformation controlling characteristics of the Bio-FGR-RP subgrade structure are unclear due to the extremely complex multiple coupling effect involved in this new subgrade structure. A series of experimental tests in macro and micro perspectives will be conducted in this project to investigate the engineering mechanical properties of Bio-cemented Fiber Sand (Bio-FS), optimize the parameters regarding to fiber and microbial induced calcite precipitation and establish the material constitutive model of Bio-FS. Afterwards, the bending strength tests and numerical simulations will be carried out to reveal the performance evolution and the coordination working mechanisms of all the parts of Bio-cemented Fiber-Geogrid Reinforced (Bio-FGR) cushion. Finally, the laboratory model experiments and numerical simulations will also be conducted to deeply investigate the load transfer mechanism and deformation controlling characteristics of Bio-FGR-RP subgrade structure and refine the useful design theory of the Bio-FGR-RP subgrade structure. The research findings of this project will give new ways for subgrade treatment in soft soil area, and meanwhile, establish theoretical and experimental supports for the comprehensive popularization and application of this new subgrade structure in actual engineering."	
基于宏基因组测序数据的微生物基因组序列鉴定及群落比较方法研究	11701546	生物数学 ( A011403 )	宋凯	助理研究员	中国科学院海洋研究所	24.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	宏基因组学；相似性分析	metagenomics;similarity analysis	人体中的微生物群落与人体的健康息息相关，有研究表明几十种疾病都与人体微生物群落的失调有关系。随着二代测序技术迅猛发展并且在宏基因组学的研究中发挥了越来越重要的作用，令深入探索微生物群落的组成与相互关系成为了可能。然而微生物群落是一个多种微生物混合的复杂体，如何利用宏基因组测序数据鉴定每种微生物的基因组序列及相对丰度等信息，并将其应用于微生物群落的相互比较是一个重要的课题。本项目将致力于开发宏基因组测序数据分析与比较的统计模型与方法，着重解决下面问题：（1）开发微生物基因组序列及相对丰度推断的概率统计方法，（2）开发微生物群落相似性度量的新统计量，（3）整合不同的微生物群落比较方法。本项目将为微生物群落的生物信息学领域提供新的研究方法，并推进我们对微生物群落与人体健康之间关系的理解。	"The microbial community in the human body is closely related to the health of the human body. Some studies have shown that dozens of diseases are related to the maladjustment of human microbial community. With the rapid development of the next generation sequencing technology which played an important role in the research of metagenomics, it is possible to explore the relationship between microbial community composition, interrelationships and environmental variables. However, the microbial community is a complex of multiple microorganisms. How to use the genome sequencing data to identify the genome sequence and relative abundance of each microorganism and apply it to the understanding and comparison of microbial community is an important subject. The project will focus on the development of the statistical models and methods in the area of metagenomics data analysis and comparison. It focuses on solving the following questions: (1) developing the probability and statistical methods for identifying microbial genome sequences and estimating the relative abundance, (2) developing a new statistic for microbial community similarity measures, (3) integrating different microbial community comparison methods. The project will provide new bioinformatical methods for the research of microbial communities and advance our understanding of the relationship between microbial communities and human health."	
生物海绵铁体系中铁与微生物协同同步反硝化作用机制及其应用基础研究	51768032	污水处理与资源化 ( E080402 )	王亚娥	教授	兰州交通大学	40.00万元	地区科学基金项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	污水处理；生物海绵铁；脱氮机理；同步反硝化	wastewater treatment;biological sponge iron;denitrification mechanism;simultaneous denitrification	"随着经济高速发展及城镇化进程的不断加快，氮素造成的水体污染日趋严重，加大污水脱氮力度，严格控制氮排放，已成为环保工作面临的重要任务。开发操作简便、经济高效的实用新型脱氮工艺已成为研究的热点。前期研究发现，好氧条件下生物海绵铁体系(Biological Sponge Iron System,简称BSIS)具有良好脱氮效果，但脱氮作用机理尚不清楚。本课题拟以间歇式BSIS为对象，通过考察体系中海绵铁表面生物膜内的缺氧同步反硝化特征与体系中铁对硝化及反硝化菌群多样性影响，揭示该体系中铁与微生物协同作用下的同步反硝化作用机制，为开发新型高效脱氮工艺提供理论基础。研究内容包括: BSIS强化脱氮效果及其影响因素研究；BSIS中缺氧反硝化特征研究；BSIS中铁对硝化及反硝化菌群多样性影响研究；BSIS中好氧反硝化菌的富集、分离纯化与脱氮性能研究；BSIS中强化硝化与同步好氧反硝化技术研究。"	"With the high-speed development of economy and the accelerating of urbanization process, nitrogen pollution of water body has become increasingly serious. The most important mission for the cultural working of environmental protection was to increase the intensity of sewage denitrification and strictly control the emissions of nitrogen. The study carried out new denitrogenation process which simplifies the operation, reduces production cost is being studied intensively. Previous studies have found that biological sponge iron system(BSIS) has strong denitrification effect in aerobic conditions, but the denitrification mechanism was unclear. In the present project, its mechanism of simultaneous denitrification under the synergistic effect of iron and microbiology will be revealed by studying the characteristics of anoxic denitrification inside biofilm attaching on the surface of sponge iron and the impact of iron on diversity of nitrifying bacteria and denitrifying bacteria using Sequencing Batch Reactor(SBR) with biological sponge iron and can provide theory foundation for developing new type denitrogenation process.The main contents of the project include：(1)The effect and affecting factors of denitrogenation in the BSIS. (2)the characteristics of anoxic denitrification in the BSIS. (3)The impact of iron on diversity of nitrifying bacteria and denitrifying bacteria in the BSIS. (4)The enrichment, separation, depuration and denitrification performance of aerobic denitrifying bacteria in the BSIS.(5)The enhancement techniques of nitrification and simultaneous aerobic denitrification in the BSIS."	
亚热带河流水库浮游微生物群落构建及其碳氮循环耦合机制与效应	91851104	水生环境微生物学 ( C010502 )	杨军		中国科学院城市环境研究所	80.00万元	重大研究计划	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
近海与河口透光层半导体矿物协同微生物驱动碳氮硫循环的机制研究	91851208	 (  )	鲁安怀		北京大学	290.00万元	重大研究计划	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
河口-近海低氧区微生物不完全反硝化过程介导的N2O产生与释放机制	91851111	 (  )	洪义国		广州大学	80.00万元	重大研究计划	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
东北地区多年冻土活动层土壤氨氧化微生物对冻融作用的响应及反馈作用研究	31870471	 (  )	高大文		哈尔滨工业大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
大豆驯化驱动的根瘤菌共生进化及其根际微生物的组装与功能演变机制	31870476	 (  )	陈卫民		西北农林科技大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
海底含甲烷冷泉流体渗漏过程中微生物作用及对碳硫循环的影响	41877185	 (  )	许天福		吉林大学	61.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
脆弱生境植被恢复过程植物_微生物_土壤碳氮磷化学计量协调机制	41877543	 ( D071404 )	韩新辉		西北农林科技大学	62.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
川西地区深层雷口坡组微生物岩及其储层形成机理研究	41872150	 (  )	宋金民		成都理工大学	66.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
稻田与旱地土壤固碳效应差异形成机理：微生物周转及残留视角	41877035	土壤化学 ( D070103 )	苏以荣		中国科学院亚热带农业生态研究所	61.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
青藏高原东南缘及邻近地区恒河猴及其肠道微生物的协同演化动态与机制研究	31870355	植物分子生态学 ( C030101 )	徐怀亮		四川农业大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
利用拉曼光镊技术解析水圈未培养微生物的硫循环驱动	91751103	微生物分离培养新技术方法 ( C010401 )	傅钰	研究员	中国科学院微生物研究所	80.00万元	重大研究计划	2018 年 01 月 01 日 至 2020 年 12 月 31 日	硫循环；激光光镊拉曼技术；硫氧化菌；未培养微生物；单细胞技术	sulfur cycle;laser tweezers Raman spectroscopy;sulfur-oxidizing bacteria;uncultured microorganism;single cell sequencing	"在硫元素生物地球化学循环中，水圈微生物的驱动发挥着巨大作用。然而，在驱动硫循环的水圈微生物群体中存在大量未培养微生物，其硫代谢机制、微生物群体的组成和维持群体结构的机制还很不明确。我们设计以不依赖于纯培养、原位无损、非标记的拉曼光镊技术，结合微流芯片原位模拟、单细胞测序以及宏基因组等技术，监测参与硫代谢循环的未培养微生物多样性和在硫循环中的贡献，解析硫氧化菌群体形成和降解零价硫小球的机制，观察零价硫小球中间体对微生物群落结构构成、多样性调控的影响，探讨硫驱动群落中微生物互作的机理, 以期通过拉曼光镊新技术的研发和改进来发现富硫水圈中未培养微生物中参与硫循环的功能微生物及其群落架构，阐释水圈微生物推动硫元素循环的分子机制。"	"In the sulfur biogeochemical cycle, the action of hydrosphere microbes is a very important driving force. However，the vast majority of microbes which drive the sulfur cycle is unculturable. It remains obscure for the mechanism of sulfur metabolism in the cell, the constitution of microbial population and the maintenance of ecological niche. In the proposal, we design and develop an in situ, culture-independent, non-destructive, label-free laser tweezers Raman spectroscopy technique to analyze the water microbes. Combined with the techniques of microfluidic chip, single-cell sequencing and metagenomics, we will identify the microorganisms involved in the sulfur cycle and their contribution in the sulfur cycle, analyze the formation and degradation of sulfur globules in the uncultured sulfur-oxidizing bacteria, observe the affection of sulfur globules on the constitution, diversity and structures of the microbial population, explore the mechanism of interactions between microbes for the sulfur cycle driving. We expect the new technology will help us find the influence of uncultured functional microbes living in sulfur-rich environment on the microbial community structure and sulfur biogeochemical cycle and reveal the mechanism how hydrosphere microbes drive the sulfur cycle."	
典型湿地好氧甲烷氧化过程的微生物固氮潜力及其环境驱动机制	91751204	水生环境微生物学 ( C010502 )	贾仲君	研究员	中国科学院南京土壤研究所	320.00万元	重大研究计划	2018 年 01 月 01 日 至 2022 年 12 月 31 日	好氧甲烷氧化菌；生物固氮；甲烷氧化；碳氮耦合；稳定性同位素	aerobic methanotrophs;biological nitrogen fixation;methane oxidation;Carbon and nitrogen coupling;Stable isotope probing	全球湿地每年甲烷排放量数以亿万吨计，导致微生物甲烷氧化过程中面临着强烈的氮素环境胁迫并演化出了固氮功能，但迄今为止，好氧甲烷氧化固氮的微生物过程机制仍不清楚。 本项目拟针对湿地甲烷氧化驱动的微生物固氮过程，以碳氮生物耦合为核心，围绕纯培养体系和复杂湿地环境中甲烷氧化菌的固氮生理功能，利用13CH4和15N2同位素示踪技术，结合基因组、转录组、蛋白组等多组学技术和NanoSIMS成像技术，研究湿地好氧甲烷氧化菌模式菌株的生理固氮机制，解析已知所有湿地代表性好氧甲烷氧化菌株的固氮潜力；阐明好氧甲烷氧化固氮过程对典型自然湿地退化的响应模式；进一步针对开垦于自然湿地及旱地的>20种稻田人工湿地，解析好氧甲烷氧化固氮的活性微生物地理分异规律，评估我国主要稻作区甲烷氧化固氮潜力；同时选择代表性菌株及湿地样品两两混合培养，探讨湿地好氧甲烷氧化近源菌株的共存机制及其固氮功能分异规律。	"Methanotrophs consume more than half of methane produced in wetland that would otherwise have doubled the global methane budget; however, it remains unclear how methanotrophs overcome nitrogen constraints for this vast amount of carbon sequestration. It has long been postulated that nitrogen fixation by methanotrophs play important roles in counteracting methane emission from wetland, but the diazotrophic methanotrophy remains poorly understood in complex environments. This project aims to decipher the mechanisms underlying microbial nitrogen fixation process driven by methane oxidation in wetland by elucidation of physiological and metabolic functions of nitrogen fixation by methane-oxidizing bacteria in both pure culture system and complex wetland environment. The 13CH4 and 15N tracer would be employed to probe diazotrophy of methanotrophic type strains, in combination with nano secondary ion mass spectrometry (NanoSIMS) imaging technology and the metatranscriptomics. The output of this project is: (1) to reveal the genetic mechanisms of diazotrophic methanotrophs during nitrogen fixation and to establish the nitrogen fixation potential budget of all known representative aerobic methane oxidizers from wetland, (2) to elucidate the adaptive mechanism of diazotrophic methanotrophs during ecological degradation of typical natural wetland, and during the conversion of typical natural wetland to flooded rice fields; (3) to decipher the biogeographic patterns of diazotrophic methanotrophs in natural wetlands and artificial wetland of rice field, and to identify the driving force responsible for niche differentiation of diazotrophic methanotrophs across hierarchical scales; (4) to obtain a comprehensive understanding of methanotrophic diazotrophy in rice paddy soil across China; (5) to explore the interactive mechanisms of diazotrophic methanotrophs in complex soils by microcosm incubation of type strain mixtures and of artificial soils mixture. The ultimate goal of this project will be to provide a clear picture of diazotrophic methane oxidation both in pure culture and wetland environments by using a combination suite of molecular techniques at unprecedented resolutions."	
易感基因和肠道微生物相互作用促进慢性前列腺炎发生发展的机制研究	81770759	前列腺疾病 ( H0513 )	莫曾南	教授	广西医科大学	56.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	慢性前列腺炎；肠道微生物；易感基因；LANCL1；HLA	chronic prostatitis;gut microorganism;susceptibility gene;LANCL1;HLA	慢性前列腺炎（CP/CPPS）被认为是在遗传易感的基础上，多种环境因素作用下发生和发展的复杂性疾病，发病机制涉及感染、免疫和脑功能等多方面问题。本课题组前期通过全基因组关联分析（GWAS）发现LANCL1，HLA基因潜在的调控区域与CP/CPPS症状及患者肠道微生物的结构和功能密切相关。由于肠道微生物对感染、免疫和脑功能至关重要，提示它很可能在CP/CPPS 的发生发展中也起重要作用。据此假设，肠道微生物与遗传易感基因相互作用，参与调控CP/CPPS的发生发展。本项目拟采用染色质空间构象捕获和CRISPR/Cas9介导的基因编辑技术，从细胞或动物水平验证LANCL1，HLA区域遗传变异的功能，并整合基因组学、肠道微生物宏基因组学、代谢组学、细胞因子组学等技术，探讨易感基因和微生物相互作用促进CP/CPPS发生发展的作用和机制，为其精准分型及个体化临床治疗提供支持。	"Chronic Prostatitis/chronic pelvic pain syndrome (CP/CPPS) is complex disease caused by multiple environmentalfactors based on hereditary susceptibility, with multiplemechanisms includinginfection, immunity, brain function and so on.In a previous Genome-Wide Association Study (GWAS), we have demonstrated that potentialregulatory regions of LANCL1 and HLA genes were closely correlated to the symptoms, and the components and functions of gut microbiome. Due to the importance of gut microbiome on infection, immune and brain function, it suggests that gut microbiome could also play an essential role in the pathogenesis and progression of CP/CPPS.Therefore, we hypothesize that the interactions of gut microbiome and susceptibility genes participate in regulating the CP/CPPS. Our project willverify the functions in the regulatory regions of LANCL1 and HLA genes from the level of cells and animals through chromosome conformation capture and gene-editing technique of CRISPR/Cas9. Meanwhile, by integrating genomics, gut-metagenomics, metabonomics and cytokine-omics, we will investigatethe mechanism of the interaction between susceptibility genes and microbe in pathogenesis and progression of CP/CPPS, which will provide foundation for the precise classification and clinical personalized therapy for CP/CPPS."	
以肽聚糖-TLR2激活为桥梁解析致抑郁的肠道微生物菌株及机制	81771490	神经系统和精神疾病其他科学问题 ( H0929 )	郑鹏	主治医师	重庆医科大学	54.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	抑郁障碍；肠道微生物；肽聚糖	Major depressive disorder;Gut microbiota;Peptidoglycan	"抑郁障碍是重大精神疾病，机制不清；申请者发现肠道微生组紊乱是其新病因（Nature子刊Mol Psychiatry 2016），被新英格兰Journal Watch评为2016年“Practice-changing Articles ”、仅1年即被Cell、Nature Neuroscience等他引30余次；现亟待明确其致病菌株及致抑郁机制。据此，拟以人源化抑郁小鼠肠-脑肽聚糖（PGN）-TLR2激活为桥梁, 在“肠”明确产生PGN的关键菌株，在“脑”明确PGN-TLR2激活的通路及致抑郁机制：(1)采用宏基因表型关联分析，挖掘产生PGN的微生物菌属；发现PGN-TLR2激活信号通路及其致抑郁机制；(2)抗生素/选择性培养干预产生PGN的菌属，挖掘产生PGN亚类菌株；将其接种TLR2 KO无菌小鼠，并干预信号通路，实现“菌株-TLR2-信号通路”三节点递进干预，证实关键菌株及致抑郁机制。"	"Major depressive disorder (MDD) is a debilitating mental disorder. However, its pahogenesis still remains unclear. We for the first time found provid evidence that disturbed gut microbiota attribute to the onset of MDD, which was designated as Practice-changing Articles in 2016 by NEJM Journal Watch. Moreover, this novel finding was also highlighted by Cell、Nature Neuroscience et al. Here, based on the higher levels of peptidoglycan (PGN) and toll-like receptors 2 (TLR2), we sought to uncover the key microbial species and underlying molecular basis of depression: (i) Using metagenomics method, we sought to identify the key gut microbiota attributed to produce the PGN in the humanized depressive model, and uncover the signal pathways and molecular basis involved in activity of PGN- PGN; (ii) By targeted intervention of gut microbiota generating PGN using antibiotic, use of TLR2 knock-out germ-free mice, and regulation of signal pathways, we sought to identify the special microbial species to produce PGN, and uncover the key molecular mechanisms and therapic targeters in depression."	
长期增温和干湿条件下高寒草甸土壤微生物的演替特征及碳转化机制	41877048	土壤生物学 ( D070104 )	周集中		清华大学	62.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
根际微生物对大豆/玉米间作体系中氮素分配的影响及其作用机制	41877051	土壤生物学 ( D070104 )	李雅颖		中国科学院城市环境研究所	61.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
异养微生物在酸性矿山排水物质循环中的作用机理及其生态功能	41877345	 (  )	尹华群		中南大学	62.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
耐热微生物引起巴氏杀菌乳加工贮运期间品质劣变的分子机制研究	31871831	畜产食品 ( C200502 )	武俊瑞		沈阳农业大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
覆盖作物对稻田氮素利用和温室气体排放的影响及其微生物生态学机制研究	31870424	农田生态学 ( C030601 )	朱波		长江大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
模拟微重力效应下小麦幼苗内生微生物组对宿主抗性调控机制研究	31870852	 (  )	付玉明		北京航空航天大学	59.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
华北古元古代晚期至中元古代早期微生物群落及真核生物研究	41872012	古生物学 ( D020101 )	石敏		中国地质大学（武汉）	66.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
基于液滴-质谱联用的单细胞精度微生物组代谢分析新方法研究	31800084	 (  )	葛安乐		中国科学院青岛生物能源与过程研究所	28.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
香蕉根际土壤微生物群落结构和功能多样性对枯萎病响应机制研究	31800360	农田生态学 ( C030601 )	白亭亭		云南省农业科学院	22.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
森林植物不同部位微生物群落结构和功能性状对氮沉降的响应	31800375	森林生态学 ( C030602 )	黄永涛		河南大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
铜尾矿废弃地上白茅和狗牙根对根际微生物固氮作用的调控	31800456	恢复生态学 ( C031203 )	李杨		安徽大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
自组装微生物/纳米硫铁3D网络协同电催化降解抗生素的机制研究	21808108	 (  )	吴夏芫		南京工业大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
微生物组大数据研究中辅助信息协助的高维模型变量选择	11801571	时间序列与多元分析 ( A011102 )	肖健		中南财经政法大学	22.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
基于微生物污染层流变特性的微观流场调控纳滤膜污染研究	51808131	污水处理与资源化 ( E080402 )	杜星		广东工业大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
微生物调控构筑特定多级孔炭材料及其“孔结构-VOCs吸附性能”关系	51808227	空气污染治理 ( E080405 )	黄皓_		华南理工大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
基于微生物多组学的育龄女性生殖道支原体定植与生育力TTP的关联及机制研究	81872634	 (  )	王蓓		东南大学	57.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
鉴别二花脸猪耐粗饲的大肠微生物、代谢产物及其宿主肠道功能基因	31872318	畜禽性状形成的基础 ( C170101 )	黄瑞华		南京农业大学	59.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
“发花”过程中黑曲霉对茯茶微生物群落及主要成分的影响及作用机制	31801513	食品微生物学基础 ( C200301 )	夏飞		陕西科技大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
榨菜腌制过程中微生物群落结构演变与风味物质组成之间的相关性研究	31801529	乳酸菌与益生菌 ( C200302 )	杨吉霞		西南大学	20.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
浓香型白酒人工窖泥微生物群落演替与酿造酒质变化的关系研究	31801534	食品发酵 ( C200303 )	刘茂柯		四川省农业科学院	22.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
伴生分蘖洋葱改善番茄氮素吸收与氮转化微生物之间的关系研究	31801905	 (  )	吴瑕		黑龙江八一农垦大学	26.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
椰子油对羔羊瘤胃微生物区系构建及甲烷生成的调控作用研究	31802090	反刍动物营养学 ( C170107 )	施力光		中国热带农业科学院热带作物品种资源研究所	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
大豆-小麦长期轮作下小麦磷吸收利用的根际微生物驱动机制	41807039	土壤生物学 ( D070104 )	王凤花		山东农业大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
晋西北黄土高原植被恢复对土壤有机碳化学结构和微生物群落的影响	41807072	土壤侵蚀与水土保持 ( D070105 )	程曼		山西大学	24.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
玉米根茎叶残体碳在土壤中的周转特征及其微生物作用机理	41807086	土壤肥力与土壤养分循环 ( D070106 )	裴久渤		沈阳农业大学	26.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
多环芳烃与重金属复合污染土壤的固定化微生物同步修复机制	41807129	土壤污染与修复 ( D070107 )	李静华		河南师范大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
多环芳烃降解微生物对黄河三角洲土壤盐胁迫的响应机制研究	41807111	土壤污染与修复 ( D070107 )	傅晓文		山东省科学院	22.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
基于DNA-稳定同位素探针技术的植物根际PAEs降解功能微生物研究	41807348	 (  )	宋孟珂		华南农业大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
西北旱农区长期保护性耕作影响土壤碳排放的功能微生物响应机制	31801320	麦类作物栽培学 ( C130302 )	刘畅		甘肃农业大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
套作大豆根际土壤微生物群落解析及根腐病抑制菌筛选	31801685	植物真菌病害 ( C140102 )	常小丽		四川农业大学	20.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
肠道免疫基因在橘小实蝇肠道微生物区域化分布中的作用	31801744	经济及其他作物害虫 ( C140204 )	姚志超		华中农业大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
制种玉米连作根际微生物变化及有机肥源缓解连作障碍机理研究	41867010	土壤生物学 ( D070104 )	赵芸晨		河西学院	40.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
施肥对马铃薯酸性土壤磷素利用与转化功能微生物的影响机制	31860342	稻类作物栽培学 ( C130301 )	张磊		云南省农业科学院	41.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
肠道微生物对小菜蛾耐受溴氰虫酰胺胁迫的作用与机制	31860509	植物免疫与抗虫性 ( C140205 )	李文红		贵州省植物保护研究所	39.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
CCP结构域-Duox信号通路参与调节冈田绕眼果蝇肠道微生物的研究	31960025	人体及动物微生物学 ( C010503 )	郑明辉		遵义医科大学	37.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
青藏高原牦牛肠道微生物菌群多样性、功能及其来源的活性天然产物挖掘	31960642	畜禽消化道微生物 ( C170103 )	张本印		青海大学	40.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
根际微生物减轻内蒙古河套灌区小麦盐碱胁迫的核心功能组研究	31960021	陆生环境微生物学 ( C010501 )	冯福应		内蒙古农业大学	41.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物残留碳对稻田土壤和永冻土固碳的贡献及其作用机制	41911530112	土壤生物学 ( D070104 )	葛体达		中国科学院亚热带农业生态研究所	15.00万元	国际(地区)合作与交流项目	2019 年 01 月 01 日 至 2020 年 12 月 01 日					
肠道微生物组在高山兀鹫食腐食性中的作用和机制研究	31960277	保护生物学 ( C031202 )	王稳		青海大学	40.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
离子型稀土矿迹地生物炭改善豆科植物固氮微生物群落结构的研究	31901226	恢复生态学 ( C031203 )	刘明骞		华南农业大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
基于微生物组学研究电针对消化性溃疡的胃肠黏膜屏障重塑机制	81973934	中医针灸 ( H2718 )	杨宗保		厦门大学	52.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
三维DNA纳米探针的构建及其对海洋腐蚀微生物原位成像的应用研究	41906037	海洋化学 ( D0602 )	曾艳		中国科学院海洋研究所	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
人工回灌含水层氧化还原分带与微生物堵塞动态耦合关系与机制	41902250	水文地质 ( D0213 )	夏璐		山东科技大学	26.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
软腐病菌胁迫下魔芋根系分泌物的鉴定及其对土壤微生物的调节作用	31902109	植物-土壤互作与调控 ( C150803 )	魏薇		昆明学院	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
菊粉型果聚糖通过调节肠道微生物稳态改善小鼠糖尿病肾病的机制研究	81900762	糖尿病 ( H0713 )	杨艳		华中科技大学	20.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
Thauera功能菌群对NO3-的阳极微生物电化学还原的作用机制研究	51908144	城市污水处理与资源化 ( E1002 )	杨暖		广州大学	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
绿色熏蒸联合生物有机肥修复西瓜枯萎病高发病土壤微生物区系机制	31902113	植物营养与土壤健康 ( C150805 )	薛超		南京农业大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
